2630,2172,4575,2898,1845,10602,16154,9726,2844,12597,6727,6751,3736,11146,1964,3494,4011,2595,3807,2027,8107,3351,12900,9749,1529,12681,19132,11371,11114,10819,931,1949,640,6231,2754,1054,4675,2523,1827,10587,14986,8675,3185,12893,7740,5452,4590,11221,2295,2906,3904,1806,3105,1768,10460,2798,12670,9404,1706,12771,20123,12243,11309,9986,611,2020,921,6405
2926,1982,4956,3867,1551,11323,17259,10547,2049,13724,7581,8729,4703,14327,2667,3606,5215,3483,5759,2952,9077,3822,11214,10608,2203,14744,21255,14873,12362,11592,1065,2072,1095,6757,3328,2108,5521,3318,1303,11342,14862,12252,2608,12257,8250,9745,4101,13737,2179,3155,5568,2319,3485,2517,9612,2856,13373,11238,2311,15331,21537,14005,12058,11970,999,2469,1330,6375
2227,1137,7709,2892,1956,9465,17039,11447,2651,11224,7005,6670,3945,12429,2356,3016,5054,2870,3986,2654,8513,3355,13231,10416,2233,15025,20677,13786,12204,9765,987,2417,1029,6042,2699,1130,6799,2948,2011,10183,13865,12513,2838,11120,7287,7148,4106,11518,2428,3128,5150,2411,3160,2496,10015,2796,13905,9744,1552,14693,21633,12402,12101,11418,779,2308,1204,6053
2062,2049,4174,3139,1831,10205,15124,9265,2376,12581,7758,7506,4850,12783,2419,3937,4754,2721,5548,2646,8498,3154,13034,9821,2241,13941,21334,13375,11998,10212,1190,2564,903,6572,2377,1785,6070,2995,1350,10201,14396,9793,3040,12088,8371,7273,5258,9996,2854,3354,5986,2122,4064,2126,9687,3048,13235,9467,1905,14691,23176,13314,13374,12169,827,3073,1959,6504
2258,2149,4585,963,1912,8928,14410,9285,3248,10910,6094,6715,4932,10932,2173,2342,3732,2166,4106,974,7450,2705,10065,9602,1965,12950,15010,14024,9828,8587,1046,2344,790,6781,2678,1171,6007,2603,2172,10677,8658,8274,2245,10410,6376,7086,4319,8884,1890,2396,3991,2186,3310,2365,8001,2462,10319,7377,1367,12983,18664,10869,14783,12882,970,2499,853,5804
2531,2553,6523,2849,1952,9142,14816,11214,2553,9524,6951,7325,4339,12254,2028,3597,3870,2562,4046,2116,8999,2759,12721,9838,1939,15047,20541,14558,12197,10569,924,2136,1065,6391,3072,1253,6592,2821,1727,10257,13135,11127,3111,10834,7545,6193,4665,12851,1588,3155,5275,2111,3482,1593,8938,2910,12063,10614,2691,14273,22768,12918,11863,12024,637,2876,1126,6616
2598,2016,6817,2732,1827,10739,15891,10507,2895,8977,7510,5235,4701,12893,2485,2892,4823,2205,3922,2043,8524,2796,12968,10946,1433,14026,19472,14293,11376,12223,886,2671,1044,6975,2416,1569,7364,2826,2034,10584,13932,10870,2639,11750,7751,5424,3988,10035,2447,3391,5273,2012,3647,1477,9381,2130,13664,10455,2170,15101,21147,13996,11488,12776,616,2519,1099,6938
2739,2454,7820,2945,1686,11311,18968,12828,2702,14579,8101,7781,5998,14620,2814,3552,5503,3263,4982,2544,10726,4342,13702,10673,2384,17272,22529,14130,15056,11311,1443,2029,895,7201,3273,3099,7860,3317,1945,11848,15114,11675,3191,15251,8132,7812,5008,12591,2613,3686,5140,2187,4055,2050,10278,4212,13420,10583,3714,16662,22065,13545,16471,12103,849,2785,1202,6854
2387,2286,4005,2720,1517,8432,13761,8316,1925,9195,5883,6445,3708,10935,2478,2650,3809,2801,3127,2158,7775,2807,9935,8650,2059,13493,16711,15899,10887,9886,1065,2563,822,6155,2437,1557,3726,2946,1598,8398,9722,9804,2183,10477,6207,6089,3827,10942,2288,2440,3205,2127,3165,2161,11215,2656,10489,8370,2273,14740,17774,13063,12746,12029,975,2158,1067,6391
2392,2109,4935,3444,1967,11571,17135,9463,2661,12270,6946,6484,4899,13145,2176,3903,3613,2865,3798,1865,8316,3525,15198,9865,2311,16803,20458,14012,13853,12453,1397,2593,761,6279,2425,2016,7083,2752,2259,11060,10721,12290,2701,12474,6623,6879,4200,12431,2553,2632,4382,2524,3396,2172,10961,3098,14676,10077,3002,16757,23239,14342,13926,11707,789,2678,1293,6121
