1120,735,1868,1545,370,3483,6415,3247,1046,5457,2644,3247,1558,3529,721,1513,1482,820,1571,1451,4056,1364,5199,4163,537,5549,7158,5425,3714,4430,315,389,289,2230,1253,498,1952,1489,408,3625,5986,2932,1204,5503,2925,2772,1885,3310,673,1267,1445,618,1252,1365,5009,1156,4920,4180,575,5453,7088,5687,3692,4062,206,394,488,2233
1076,881,2021,1894,383,3366,6366,3294,776,5305,2802,3777,1891,3879,842,1542,1801,1019,2093,2120,4096,1416,4288,4102,803,6206,7607,6700,3808,4253,296,389,444,2198,1336,722,2349,1733,335,3724,5766,3839,867,5475,2984,4386,1609,3683,685,1380,1975,705,1361,1675,4352,1172,5178,4416,741,6414,7836,6035,3808,4570,310,496,605,2131
915,549,2798,1652,449,3366,6795,3639,927,4861,2453,3452,1701,3747,719,1266,1555,756,1387,1749,3775,1291,4737,4498,819,5958,7301,6036,3623,3364,286,446,374,1915,1187,478,2636,1584,447,3234,5215,3871,1073,4671,2456,3480,1727,3441,749,1302,1648,618,1166,1672,4498,1138,4838,4068,608,5557,7695,5352,3692,3788,193,407,485,1954
855,716,1541,1589,404,3349,5077,2646,859,4716,2343,3123,1567,3301,628,1474,1569,763,1750,1554,3843,1146,5064,3563,611,4868,6860,5537,3241,3569,258,427,311,2038,895,566,2106,1626,377,3058,4865,2778,1071,4878,2781,3133,1822,2506,718,1309,1905,535,1269,1418,4004,1075,5485,3544,549,5084,6883,5708,3544,3934,225,453,544,1902
884,764,1823,636,426,2524,5200,2851,1036,4449,1965,2577,1777,2891,575,1088,1329,642,1373,586,3469,1140,3941,4376,592,5180,5310,6352,2824,2948,243,382,271,2081,936,437,2377,1385,470,3176,3413,2467,774,4448,2190,3089,1609,2395,631,1071,1313,576,1135,1554,3349,914,3876,3202,407,4861,6524,4890,4412,4476,253,458,349,1740
979,846,2370,1549,318,3090,5526,3271,1100,4242,2607,3205,1776,3389,664,1519,1347,791,1451,1637,3927,1220,4878,4037,641,6047,7128,5956,3660,3855,255,442,379,2149,1207,533,2591,1575,370,3399,4855,3559,1248,4774,2822,2864,1892,3602,645,1317,1774,645,1251,1140,3949,1147,4488,4192,952,5802,7749,5282,3608,4218,165,436,467,2266
1053,758,2579,1419,403,3998,5672,3333,1050,3744,2908,2470,2012,3652,820,1188,1726,688,1529,1327,3829,1100,4555,4431,553,6073,7070,5919,3611,4188,285,445,350,2289,1017,621,2753,1416,518,3632,4892,3951,1019,5081,2910,2643,1681,2959,791,1344,1866,579,1368,1049,4064,827,4788,4208,724,6133,7558,5431,3764,4358,180,474,389,2265
1065,854,2871,1639,397,3539,6349,3619,928,5517,2752,3490,2120,3819,825,1388,1739,837,1615,1571,4442,1566,4749,4176,768,6448,7817,5897,4122,3830,361,383,313,2155,1238,1031,2936,1663,371,3745,5359,3316,1105,5940,2694,3638,1821,3302,826,1392,1705,618,1450,1462,4269,1584,4496,3843,1071,6327,7315,5213,4307,3990,238,487,476,2088
867,778,1425,1205,290,2491,4542,2314,730,3240,1971,2633,1605,2858,682,1055,1259,687,1054,1318,3158,1009,3335,3064,713,4936,5461,6037,3222,3199,296,428,268,1951,896,562,1295,1341,288,2718,3202,2827,743,3662,2256,2629,1487,2593,603,934,1160,548,1163,1338,4269,968,3322,3039,722,5150,5661,5012,3347,3733,241,432,418,1925
1070,718,1739,1940,404,3602,6176,3103,1058,5282,2333,3167,1776,3596,690,1550,1255,795,1256,1496,3703,1195,5139,3868,717,6342,6612,5966,3799,4092,326,406,275,2098,991,756,2238,1639,511,3674,4271,3616,1030,5012,2449,3307,1452,3511,673,1142,1419,667,1212,1552,4218,1115,4943,4247,926,6018,7233,5771,3895,3884,202,453,453,1890
1244,807,2220,1720,340,3583,6199,4206,1194,4958,3164,3150,2401,4384,811,1570,1469,1005,2451,1361,4803,1228,5652,4563,565,7206,8648,6774,4736,4863,306,395,533,2626,1295,883,3069,1657,361,3602,5193,3526,1354,6534,3124,3459,2422,3412,915,1323,1755,762,1800,1330,5534,1361,5883,4520,1181,7031,7808,6269,4986,5096,256,562,669,2699
966,653,1825,1460,387,3308,5684,2850,832,3560,2284,2814,1718,2941,690,1314,1052,719,1391,1294,3465,1053,4408,3555,466,5067,6696,4677,3523,3322,227,440,330,2022,1023,537,1769,1398,347,3112,5020,2662,1049,3731,2210,2806,1755,2604,695,1047,1542,529,1278,1070,3907,1056,4668,3495,602,5349,6134,4633,3532,3457,234,463,438,1869
919,550,1732,1314,296,2661,4417,2976,712,4091,2324,2927,1384,3056,617,1188,1306,782,1434,1405,4075,976,4172,3373,405,5069,5501,4673,3088,3207,237,361,287,1802,848,432,2017,1360,398,2965,3839,2779,885,4225,2398,3110,1315,2477,634,1015,1436,553,964,1276,3473,1027,4396,3271,426,4961,5957,5158,3252,3813,159,445,409,1878
1035,806,2137,1670,415,3697,6924,3838,1178,5408,2509,3427,1623,3650,822,1604,1704,840,1872,1550,4558,1228,5037,5004,713,6889,7632,6259,3462,4309,264,496,368,2290,1165,758,2188,1631,392,4073,5881,3771,1242,5713,2915,3162,1755,3309,832,1152,1607,583,1063,1513,4593,1225,4514,4936,837,7025,7801,6203,3631,3889,197,522,450,2452
1061,770,2392,1541,438,3247,6584,3056,891,5286,3073,3807,1885,4099,840,1869,1616,994,2047,1574,4804,1453,6062,3572,1011,7213,6605,5333,4057,3304,324,480,346,2703,1161,654,2460,1518,470,3525,4473,4143,1010,6194,3099,3255,1918,3307,776,1323,2098,768,1597,1425,3952,1130,5236,4169,874,5691,7572,6400,4455,4310,203,486,612,2416
1120,834,1541,1284,333,3037,6112,3405,729,3613,2447,2824,1795,3172,596,1485,1064,666,1318,1226,3793,1403,4145,3266,691,5480,6840,5110,3287,3433,288,425,281,2353,1079,596,1997,1219,294,3438,5681,3404,896,4908,2430,2459,1328,3473,693,1146,1282,538,1082,1002,3847,1036,4163,3406,739,5002,7790,4645,4095,3122,193,541,377,2080
984,774,1647,1260,363,3258,5086,3004,868,3677,2407,2461,1547,3026,703,1323,1077,621,1414,1130,3834,1230,4542,3559,626,5793,6156,4770,3506,3325,278,369,308,2030,1050,644,2059,1055,355,3128,4082,2998,759,3983,2497,2375,1588,2949,788,1297,1395,581,1066,1011,4071,1127,4680,3358,744,5528,6423,4505,3439,3324,156,404,418,2019
1441,814,1798,1621,394,4058,7511,2611,1179,5166,2664,3603,2213,3752,932,2223,1287,673,1716,1781,4696,1440,5610,3883,997,6529,7777,5536,3425,4351,293,412,331,2509,1142,840,2379,1349,367,3898,6108,3562,1401,5031,2897,3559,2096,3224,741,1395,1549,687,1498,1459,4824,1345,4579,4549,1075,6522,7401,6620,4172,4619,192,557,446,2470
880,702,2151,1388,313,2663,4176,3021,678,3839,2742,2506,1664,2803,476,1178,1307,669,1559,1625,3543,806,3944,3456,587,4878,6382,4658,2999,3534,200,380,304,1753,822,535,2357,1420,378,2789,4287,2957,825,4451,2616,3083,1479,2126,630,1264,1489,595,1275,1507,3501,949,4031,3201,626,5136,6102,4748,3011,2985,159,380,400,1777
744,882,2228,1297,330,3043,5796,3017,718,5117,2297,2705,1771,3504,672,1436,1571,633,1500,1156,3791,1295,3841,3371,615,5200,6390,5052,3104,3263,293,427,279,2538,1204,717,2489,1460,470,3108,4118,2785,793,4983,2533,3108,1587,2945,758,1171,1563,498,1298,1219,3883,882,3758,3298,696,4927,6812,5182,3514,3566,170,503,505,2159
889,605,1943,1458,392,2922,5709,3212,785,3933,2366,3224,1828,3071,565,1288,1138,660,1386,1395,3290,965,4014,3656,387,5674,5905,5255,2944,3095,243,334,259,1740,1031,505,2054,1260,397,3218,4782,2990,884,4202,2529,3229,1325,2632,646,1094,1332,596,1141,1282,3573,892,3888,3505,667,5213,6272,4673,3184,3851,180,431,409,1965
1167,872,1889,1657,285,2917,5581,2919,953,5332,2337,3598,1724,3178,703,1434,1161,808,1725,1767,4103,1378,4354,3564,676,6216,6295,6109,3428,3458,174,382,291,2161,1360,397,2354,1638,318,3177,4377,2896,1014,4627,2584,3802,1522,2846,635,1156,1793,631,1289,1674,3840,999,4555,3721,754,5623,6650,6901,3855,3888,161,444,335,2031
874,744,1567,1514,210,3088,4758,2762,674,3902,2062,3145,1653,2896,735,1341,1308,714,1660,1504,3406,992,3663,3061,584,5400,5443,4407,3421,3062,242,397,315,1819,972,504,1912,1523,245,2681,3871,2869,761,3987,2417,3348,1324,2887,741,1082,1527,592,1094,1283,3533,911,4346,2845,738,4564,6062,5016,3246,3160,157,425,394,1886
1020,936,2004,1432,425,3449,4911,3368,776,4197,2175,2696,1685,3519,721,1310,1256,799,1662,1402,3588,1161,4435,3517,702,4922,5743,5162,3655,3438,201,431,329,1946,984,648,2232,1445,333,3301,4273,3354,865,5039,2580,2684,1510,2940,623,1074,1825,635,1207,1213,3919,874,4837,3592,859,4659,6503,5358,3638,4239,137,448,479,1909
1262,1117,3295,2019,372,3849,6960,3593,1272,5442,3319,3263,2291,3915,844,2275,1904,948,1874,1867,4513,1667,5546,5335,1007,7326,9501,7302,4218,3720,359,394,425,2621,1497,619,3073,1809,374,3394,5582,3610,1179,5309,3175,3808,2380,3598,886,1709,2159,657,1737,1698,4393,1583,5715,4675,1005,8476,9198,6656,4540,4973,241,374,656,2716
712,662,1594,1178,535,2578,5048,2556,657,3463,2006,2372,1464,2356,589,1271,1183,674,1246,1198,2909,976,3675,2970,634,3897,4628,5231,2624,2964,294,366,307,1798,1199,428,1600,1183,515,2692,3432,2335,609,3909,2063,2283,1574,1965,670,1178,1482,486,1116,1026,3492,714,3734,3108,647,3514,5394,4870,3292,3227,208,433,465,1724
1013,953,2396,1519,294,3469,5514,3312,780,5077,2578,2891,2068,3250,681,1464,1329,710,1584,1357,3677,1448,5165,3363,769,5808,7066,5380,3197,3416,279,345,362,2090,1033,565,2016,1529,291,3340,5094,3218,993,5017,2683,2853,1828,3230,755,1046,1571,747,1458,1328,4047,1258,4763,3387,750,6097,7101,4865,3655,3251,209,378,428,2070
974,895,1941,1415,247,2803,5537,2482,718,3643,2064,2712,1566,3339,620,1461,1426,618,1314,1474,3477,1164,4253,3385,703,4806,6191,4745,3215,3252,301,401,254,1851,1110,557,1990,1106,285,2882,4638,2794,879,3730,2142,2759,1430,2761,637,1173,1476,477,1178,1137,3955,1166,4337,3410,540,4855,6138,4537,3313,4038,262,411,379,1887
890,1049,2567,1803,458,3740,5490,3071,1032,5896,2358,3578,1952,3772,664,1422,1681,784,1708,1756,3944,1214,5218,4603,787,5800,6996,6524,3773,3953,275,453,330,2058,1155,580,3001,1982,486,4084,5534,3601,944,4527,2621,3788,1977,3466,713,1341,1731,743,1025,1796,4102,980,5485,4162,745,6150,7771,6449,4080,3701,206,546,413,2107
842,774,1817,1282,287,2750,5687,2589,826,4040,2347,3043,1486,2883,661,1237,1024,656,1308,1391,3336,1058,4197,3286,716,5462,5417,5594,3210,3216,336,414,309,2059,881,510,1650,1237,313,2712,4736,3150,965,4349,2525,2924,1623,2832,651,1137,1156,588,815,1373,3690,848,4475,3320,640,5140,6546,5036,3242,3253,263,442,522,1899
